popit_id,politician_name,director_name,similarity,project_sum,project_count,first_project,last_project
545e46fa5222837c2c05930b,Dato Paduka Abu Bakar Taib,DATO' PADUKA ABU BAKAR BIN TAIB,0.8712121212,342900000,5,2000-09-30,2007-11-28
545e45fc5222837c2c05908e,Anthony, ANTHONY,1,324907377,13,2000-02-14,2006-03-01
545e462f5222837c2c05910e,Phahrolrazi Bin Mohd Zawawi,PHAHROLRAZI BIN HJ. MOHD ZAWAWI,0.8511904762,322552509,42,2003-04-14,2011-10-31
545e45e15222837c2c059048,Wan Salleh Wan Isa,WAN SALLEH BIN WAN ISA,0.8359133127,322552509,42,2003-04-14,2011-10-31
545e424c5222837c2c058762,Jaziz, JAZIZ,1,322552509,42,2003-04-14,2011-10-31
545e45765222837c2c058f3c,Yusof, YUSOF,1,301076803,10,1998-11-30,2011-07-01
545e430c5222837c2c05893e,Abdul Aziz Bin Muhammad,ABDUL AZIZ BIN MUHAMAD,0.8723684211,299528000,2,0000-00-00,1996-07-31
545e48355222837c2c05960d,Saiful Izham Ramli,SAIFUL IZHAM BIN RAMLI,0.8359133127,297469651,46,0000-00-00,2011-10-31
545e49205222837c2c05984e,Ibrahim Bin Ahmad,DATO' IBRAHIM BIN AHMAD,0.8263888889,291397243,56,1997-08-26,2011-12-09
545e427d5222837c2c0587da,Ismail,ISMAIL ,1,274104578,103,1996-09-10,2011-05-26
545e456f5222837c2c058f2c,Zulkifli Ibrahim,ZULKIFLI BIN IBRAHIM,0.8359133127,266828812,17,2000-02-11,2011-01-11
545e43745222837c2c058a40,Abdul Aziz Abdul Kadir,ABDUL AZIZ BIN ABDUL KADIR,0.8765217391,245864984,52,1996-10-23,2012-01-18
545e47de5222837c2c05953f,Muhammad, MUHAMMAD,1,235838375,11,1997-07-07,2012-03-13
545e489c5222837c2c059706,Datu Amir Kahar Bin Datu Mustapha,DATU AMIR KAHAR BIN DATU MUSTAPHA,1,225886525,4,2004-01-06,2011-10-07
545e44ea5222837c2c058de0,Hanifa Bin Ahmad,HANIFA BIN AHMAD,1,220946930,44,0000-00-00,2011-09-27
545e45275222837c2c058e78,Abdullah Ya'Kub,ABDULLAH BIN YA'KUB,0.8263888889,220946930,44,0000-00-00,2011-09-27
545e44b25222837c2c058d52,Abdullah Bin Ya'Kub,ABDULLAH BIN YA'KUB,1,220946930,44,0000-00-00,2011-09-27
545e43735222837c2c058a3e,Wan Ismail Wan Jusoh,WAN ISMAIL BIN WAN JUSOH,0.8654244306,220946930,44,0000-00-00,2011-09-27
545e42875222837c2c0587f3,Nik Dir Bin Nik Wan Ku,NIK DIR B NIK WAN KU,1,211364492,5,2005-01-25,2009-05-17
545e44535222837c2c058c68,Tahir Mohd Taat,TAHIR BIN MOHD TAAT,0.8263888889,208390492,15,2007-07-01,2012-02-15
545e47b85222837c2c0594e2,Tajuddin Bin Abdul Rahman,TAJUDDIN BIN ABD RAHMAN,0.8276515152,206989253,6,1998-12-17,2008-03-24
545e44d15222837c2c058da0,Rosli Bin Mat Hassan,ROSLI BIN MAT HASSAN,1,198700635,7,1997-10-06,2008-02-15
